,iloc,distance
222,4,3.490851807446272
223,3,4.361564468397427
224,2,6.320981823356456
225,4,1.424789883350018
226,3,2.5922471939280793
227,3,2.084906665181497
228,4,3.183601128576312
229,2,8.65604394992053
230,3,1.4814572551937626
231,3,3.4139209502449614
232,3,3.088241923755799
233,4,1.4377508353282307
234,3,2.2405729388896503
235,3,3.7783385944370114
236,1,3.1593201720493167
237,4,2.662649423607132
238,4,1.910751107468306
239,4,1.8877910893326448
240,1,3.0420450340190826
241,3,3.460042221721205
242,2,3.1179035779698685
243,4,1.4616963347778704
244,3,2.829764764477782
245,4,2.144608583850091
246,3,2.6550978802795635
247,3,2.1524675982434385
248,1,6.352651885232009
249,2,4.701260881767592
250,1,2.3304131564428032
251,3,1.8853620850965496
252,4,1.8685242349023956
253,3,4.535094360836639
254,4,2.5377640607807535
255,4,2.656392063499547
256,4,2.1601171377302166
257,3,3.0840241260653696
258,3,4.722472582588032
259,4,1.5116026605521964
260,4,3.1185658007333656
261,3,4.024467796070504
262,2,2.5020232719447573
263,2,7.417353305642039
264,4,2.3390830080381644
265,2,6.88445919433088
266,3,2.7970139535999388
267,3,3.32412697215475
268,4,2.1964063716708364
269,2,4.206380888383823
270,2,3.754336511978341
271,1,2.3543164538129524
272,3,3.468280283120752
273,2,19.07760125813661
274,1,7.004248727579329
275,4,2.8309234218819714
276,4,1.3495719987406942
277,4,2.5319476711879525
278,3,2.8476755467972588
279,3,2.1201565501510826
280,2,5.349529622678599
281,3,2.0352918998902507
282,3,2.426549719845749
283,3,2.904132145480674
284,4,1.1112114416097296
285,1,2.8573949621966603
286,4,1.3705993278697057
287,4,2.659353503151929
288,4,2.714725859916884
289,4,2.6523531747456115
290,3,4.012784128612031
291,1,2.56656137403257
292,4,2.1983216134307106
293,1,2.837064275827265
294,3,1.607051891207586
295,2,4.807763280636622
296,4,1.8835925165097396
297,1,3.3563537778363965
298,3,3.36895728081838
299,3,3.003781917216462
300,4,2.1201133945709927
301,3,3.38737037818907
302,4,3.4671028176015892
303,3,2.2828474411272075
304,1,3.484477088243306
305,3,3.1064882110874446
306,3,1.9265967008725466
307,3,2.3287472782672056
308,4,1.1862502989633505
309,3,1.7281347432115728
310,3,4.639406287630781
311,3,3.4312226406554798
312,2,4.167148586231114
313,4,1.783534556444567
314,4,1.9504567580919792
315,4,2.018585008084919
316,1,4.378340731591326
317,3,3.0218903008900817
318,3,1.8848967293394114
319,3,3.8559158029793497
320,1,1.8795449049531963
321,1,3.422367977575732
322,1,2.425608253358277
323,4,1.9261242530183427
324,1,2.640990051612959
325,3,1.7125598544114704
326,2,7.631407329866041
327,3,3.6295772049249524
328,4,1.885635318287789
329,3,4.4288061891026205
330,4,1.4884715481283197
331,3,3.631810469626309
332,3,2.3849109416164365
333,3,4.07292783045759
334,1,3.354388318013215
335,1,2.999323348783991
336,4,2.838239364874393
337,2,4.467714626238771
338,4,2.962011189632517
339,3,3.6821512043473805
340,4,1.2323246175753695
341,1,11.673061529695365
342,4,1.2354500516715035
343,4,1.7111449346457053
344,3,3.883265683754615
345,4,2.254853355405168
346,3,3.3784935452833524
347,3,1.4560630144701663
348,1,4.855266975835458
349,3,2.380418913672155
350,4,2.797335934147633
351,3,3.4180040968695202
352,1,3.375356136151284
353,4,3.2405796274300465
354,4,3.1497564657356896
355,2,4.064424787197067
356,3,5.021423382145625
357,1,1.7723000206168433
358,4,1.278085816474353
359,4,1.3273607912263186
360,3,1.860867907180931
361,4,1.459016235403597
362,3,3.8064564620229233
363,2,7.571939291382949
364,4,1.6650955194763235
365,3,2.500424036275925
366,4,1.780119020268218
367,3,4.451052435263587
368,1,2.1602604872416307
369,1,3.651276898814956
370,2,4.38628616920624
371,1,4.611674264638479
372,4,2.85940668640712
373,2,3.302693787559831
374,3,2.2487052926610014
375,4,1.827055702133834
376,2,5.578077706022491
377,3,3.4533359622308337
378,4,1.2505843232435112
379,4,1.3480651835318098
380,1,5.330415489221204
381,4,1.2941804088830315
382,4,2.1108803005357024
383,4,2.56284920978053
384,2,4.22897436338789
